epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5379580855369568,0.0010000000474974513,1.0163041353225708,0.6510416865348816,0.6953710913658142
1,0.5680628418922424,0.0010000000474974513,0.8390150666236877,0.7083333134651184,0.6700541377067566
2,0.5929319262504578,0.0010000000474974513,0.7700368762016296,0.7447916865348816,0.6373321413993835
3,0.6583769917488098,0.0010000000474974513,0.6945593357086182,0.5729166865348816,0.7212035059928894
4,0.6178010702133179,0.0010000000474974513,0.7055373191833496,0.7135416865348816,0.6086240410804749
5,0.6426701545715332,0.0010000000474974513,0.6501650810241699,0.734375,0.643638551235199
6,0.6688481569290161,0.0010000000474974513,0.6113157272338867,0.5833333134651184,0.7129085659980774
7,0.676701545715332,0.0010000000474974513,0.6219576001167297,0.6145833134651184,0.660001814365387
8,0.6871727705001831,0.0005000000237487257,0.5936927199363708,0.703125,0.6338587403297424
9,0.6609947681427002,0.0005000000237487257,0.5936813354492188,0.7760416865348816,0.5792731642723083
10,0.6871727705001831,0.0005000000237487257,0.6027970910072327,0.6770833134651184,0.6442018151283264
11,0.6897905468940735,0.0005000000237487257,0.5967183709144592,0.6927083134651184,0.6051044464111328
12,0.6897905468940735,0.0005000000237487257,0.5899872779846191,0.6875,0.6266303062438965
13,0.7146596908569336,0.0002500000118743628,0.5738732814788818,0.7395833134651184,0.5845509767532349
14,0.7107329964637756,0.0002500000118743628,0.5735448598861694,0.7708333134651184,0.5497804284095764
15,0.6924083828926086,0.0002500000118743628,0.5859681963920593,0.75,0.576201319694519
16,0.7094240784645081,0.0002500000118743628,0.5835227966308594,0.7239583134651184,0.6159765124320984
17,0.7198953032493591,0.0002500000118743628,0.5712520480155945,0.7760416865348816,0.564224123954773
18,0.7225130796432495,0.0001250000059371814,0.5612545609474182,0.7708333134651184,0.551625669002533
19,0.7094240784645081,0.0001250000059371814,0.5636170506477356,0.7864583134651184,0.5345503091812134
20,0.7225130796432495,0.0001250000059371814,0.5529310703277588,0.7760416865348816,0.539177417755127
21,0.7094240784645081,0.0001250000059371814,0.5542336106300354,0.75,0.5682377219200134
22,0.7303664684295654,0.0001250000059371814,0.537662148475647,0.7760416865348816,0.5227384567260742
23,0.7329843044281006,0.0001250000059371814,0.531683623790741,0.7760416865348816,0.5413382649421692
24,0.7382199168205261,0.0001250000059371814,0.5320848226547241,0.78125,0.5306590795516968
25,0.7447643876075745,0.0001250000059371814,0.524576723575592,0.8020833134651184,0.5351099371910095
26,0.7408376932144165,6.25000029685907e-05,0.5190978646278381,0.8072916865348816,0.5372655987739563
27,0.7447643876075745,6.25000029685907e-05,0.5045097470283508,0.8020833134651184,0.5397484302520752
